央视频道,#genre#
CCTV14,http://110.7.128.242:8096/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://110.7.128.242:8096/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://110.7.128.242:8096/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://61.136.67.238:50085/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://171.38.151.76:8082udp/224.1.2.67:32067/
CCTV17,http://171.38.151.76:8082udp/224.1.2.55:32055/
CCTV10,http://124.231.214.209:9999udp/228.1.1.10:6010/
CCTV13,http://116.117.105.228:8096/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV16,http://171.38.151.76:8082udp/224.1.2.78:32078/
CCTV5,http://211.149.143.188:88/hls/5/index.m3u8
CCTV13,http://211.149.143.188:88/hls/13/index.m3u8
CCTV5,http://118.212.169.134/PLTV/88888888/224/3221226431/index.m3u8
CCTV5+,http://211.149.143.188:88/hls/16/index.m3u8
CCTV3,http://124.231.214.209:9999udp/228.1.1.3:6003/
CCTV3,http://171.38.151.76:8082udp/224.1.2.7:32007/
CCTV6,http://124.231.214.209:9999udp/228.1.1.6:6006/
CCTV7,http://171.38.151.19:8082udp/224.1.2.69:32069/
CCTV11,http://124.231.214.209:9999udp/228.1.1.41:6041/
CCTV14,http://211.149.143.188:88/hls/14/index.m3u8
CCTV2,http://118.212.169.134/PLTV/88888888/224/3221226464/index.m3u8
CCTV14,http://171.38.151.76:8082udp/224.1.2.70:32070/
CCTV2,http://116.117.105.228:8096/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://171.38.151.19:8082udp/224.1.2.67:32067/
CCTV10,http://211.149.143.188:88/hls/10/index.m3u8
CCTV1,http://211.149.143.188:88/hls/1/index.m3u8
CCTV9,http://116.117.105.228:8096/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://171.38.151.76:8082udp/224.1.2.10:32010/
CCTV12,http://116.117.105.228:8096/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://116.117.105.228:8096/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://118.212.169.134/PLTV/88888888/224/3221226440/index.m3u8
CCTV4,http://211.149.143.188:88/hls/105/index.m3u8
CCTV13,http://110.7.128.242:8096/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://61.136.67.238:50085/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://118.212.169.134/PLTV/88888888/224/3221226462/index.m3u8
CCTV7,http://124.231.214.209:9999udp/228.1.1.118:6118/
CCTV8,http://171.38.151.19:8082udp/224.1.2.10:32010/
CCTV9,http://cctvalih5ca.v.myalicdn.com/live/cctvjilu_2/index.m3u8
CCTV9,http://211.149.143.188:88/hls/9/index.m3u8
CCTV1,http://171.38.151.19:8082udp/224.1.2.99:32099/
CCTV14,http://171.38.151.19:8082udp/224.1.2.70:32070/
CCTV15,http://110.7.128.242:8096/tsfile/live/0014_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://124.231.214.209:9999udp/228.1.1.4:6004/
CCTV2,http://118.212.169.134/PLTV/88888888/224/3221226453/index.m3u8
CCTV6,http://110.7.128.242:8096/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://171.38.151.19:8082udp/224.1.2.51:32051/
CCTV9,http://61.136.67.238:50085/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CETV2,http://124.238.110.12:9999udp/239.254.200.226:6260/
CCTV16,http://124.231.214.209:9999udp/228.1.1.110:6110/
CCTV5,http://124.231.214.209:9999udp/228.1.1.5:6005/
CCTV10,http://110.7.128.242:8096/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://118.212.169.134/PLTV/88888888/224/3221226860/index.m3u8
CCTV12,http://110.7.128.242:8096/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://118.212.169.134/PLTV/88888888/224/3221226438/index.m3u8
CCTV14,http://124.231.214.209:9999udp/228.1.1.12:6012/
CCTV1,http://116.117.105.228:8096/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://171.38.151.76:8082udp/224.1.2.49:32049/
CCTV4,http://110.7.128.242:8096/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://124.231.214.209:9999udp/228.1.1.40:6040/
CCTV14,http://61.136.67.238:50085/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://171.38.151.76:8082udp/224.1.2.16:32016/
CCTV13,http://124.231.214.209:9999udp/228.1.1.42:6042/
CCTV6,http://116.117.105.228:8096/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://171.38.151.76:8082udp/224.1.2.15:32015/
CETV2,http://10.8.8.250:5000/?id=10505
CCTV12,http://211.149.143.188:88/hls/12/index.m3u8
CCTV14,http://118.212.169.134/PLTV/88888888/224/3221226426/index.m3u8
CCTV7,http://118.212.169.134/PLTV/88888888/224/3221226444/index.m3u8
